COD_COMUNA,COD_ZonLoc,Clave,Nombre,Tipo,COD_REGION,REGION,COD_PROVIN,PROVINCIA,NOMBRE_COM,PobTotH,PobTotM,Pob_0_5,Pob_6_10,Pob_11_15,Pob_16_20,Pob_21_25,Pob_26_30,Pob_31_35,Pob_36_40,Pob_41_45,Pob_46_50,Pob_51_55,Pob_56_60,Pob_61_65,Pob_66_70,Pob_71_75,Pob_76_80,Pob_81_85,Pob_86_90,Pob_mayor_,Emig_10_17,Emig_00_09,Emig_90_99,Emig_ant90,AsisEdu_SI,AsisEdu_NO,AsisEdu_Nu,Curso_0,Curso_1,Curso_2,Curso_3,Curso_4,Curso_5,Curso_6,Curso_7,Curso_8,PobIndigen,ind_Mapuch,ind_Aymara,ind_RapaNu,ind_LicanA,ind_Quechu,ind_Colla,ind_Diagui,ind_Kawesq,ind_Yagan_,ind_Otros,indG_Mapuc,indG_Aymar,indG_RapaN,indG_Lican,indG_Quech,indG_Colla,indG_Diagu,indG_Kawes,indG_Yagan,indG_Otros,ind_o_Lafq,ind_o_Pehu,ind_o_Huil,ind_o_Picu,ind_o_Chan,ind_o_Chon,ind_o_Ona,ind_o_Tehu,ind_o_AL,ind_o_Mund,ind_o_Afro,ind_o_Otro,ind_o_NoDe,Trabajo_1,Trabajo_2,Trabajo_3,Trabajo_4,Trabajo_5,Trabajo_6,Trabajo_7,Trabajo_8
1101,1101112901,1101112901,TRES ISLAS,Zona,1,REGIÓN DE TARAPACÁ,11,IQUIQUE,IQUIQUE,94230,96176,16637,13915,12383,12980,15618,17660,16096,14428,12840,11275,11321,10386,8615,6083,4112,2694,1721,1103,539,18580,6144,1931,683,58068,121644,6973,13284,13704,23266,21095,59910,21477,10739,4308,9829,32741,5645,18405,49,407,3635,386,2447,15,20,1732,5698,18405,49,407,3635,386,2447,15,20,1679,0,8,42,3,71,3,5,2,416,30,307,0,845,85012,1229,4399,6850,15211,14899,12826,6782
1107,1107042002,1107042002,VERTEDERO,Zona,1,REGIÓN DE TARAPACÁ,11,IQUIQUE,ALTO HOSPICIO,53780,53776,12567,10311,9566,9435,9902,9776,8439,7423,6878,6282,5788,4165,2901,1840,1110,577,341,166,89,7094,3303,1458,403,39428,60325,4718,10110,8919,11965,10028,33850,6182,4746,3097,8983,31827,5360,19864,29,310,2399,285,2583,7,7,983,5388,19864,29,310,2399,285,2583,7,7,955,0,8,20,0,36,2,0,0,140,10,117,0,650,40708,912,2127,4059,8390,9029,3312,6040
1401,1401072027,1401072027,YAMIGÑA,Zona,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,POZO ALMONTE,8280,6613,1502,1232,1069,1054,1042,1320,1373,1138,1111,841,838,753,596,359,301,167,130,40,27,1110,449,156,83,4464,9363,709,1179,1048,1770,1339,4922,959,841,379,1233,6446,711,3937,2,49,532,76,970,1,2,166,714,3937,2,49,532,76,970,1,2,163,0,2,1,0,5,0,0,1,58,1,6,0,92,5962,177,903,636,769,1200,759,595
1402,1402012010,1402012010,YALA YALA,Localidad,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,CAMIÑA,653,589,104,104,81,89,85,86,68,68,86,81,79,71,55,55,42,42,24,12,10,80,49,31,15,347,723,122,75,58,110,110,276,73,95,30,184,1067,14,955,0,0,66,1,2,0,0,29,14,955,0,0,66,1,2,0,0,29,0,0,0,0,0,0,0,0,19,0,0,0,10,441,148,13,24,61,105,103,49
1403,1403042004,1403042004,VILLABLANCA,Localidad,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,COLCHANE,748,565,83,71,75,103,113,111,93,83,76,89,71,80,71,79,53,29,18,10,5,72,37,18,9,307,789,136,50,90,166,128,301,87,81,26,140,1106,10,1052,0,1,27,1,4,0,0,11,10,1052,0,1,27,1,4,0,0,11,0,0,0,0,0,0,0,0,8,0,0,0,3,530,142,12,33,66,116,80,52
1404,1404082901,1404082901,ZAPICA,Zona,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,HUARA,1490,1213,241,225,182,147,185,204,198,156,153,176,183,150,150,121,96,60,39,24,13,229,136,32,27,717,1696,190,172,184,274,276,700,168,220,85,266,1636,47,1361,1,3,142,2,35,0,0,45,47,1361,1,3,142,2,35,0,0,45,0,0,0,0,0,0,0,0,3,0,3,0,39,1109,218,47,77,95,172,221,76
1405,1405042009,1405042009,VALLE QUISMA,Zona,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,PICA,6535,2725,481,393,351,331,559,1071,1154,1067,1007,858,596,452,299,218,161,121,67,46,28,505,265,141,114,1787,7021,188,407,469,1094,852,3783,869,573,157,495,4205,403,2820,3,41,589,28,234,0,2,85,405,2820,3,41,589,28,234,0,2,83,0,1,1,0,8,1,1,0,5,1,15,0,52,3807,136,2582,187,239,346,480,180
2101,2101181004,2101181004,SOCOMPA,Zona,2,REGIÓN DE ANTOFAGASTA,21,ANTOFAGASTA,ANTOFAGASTA,179171,178581,30196,26427,24222,27896,32816,33369,28834,26651,26372,22133,21083,18012,13696,9486,6802,4487,2844,1687,739,28318,5285,1146,725,115371,218559,14344,22745,26675,46954,35426,113423,33414,20141,8142,22318,27670,9969,6093,65,2768,2029,459,3974,43,26,2244,10053,6093,65,2768,2029,459,3974,43,26,2160,2,5,73,4,338,2,16,3,387,67,369,0,978,150895,1991,9247,14343,32550,32677,19161,13328
2102,2102022901,2102022901,PUNTA LAGARTOS,Zona,2,REGIÓN DE ANTOFAGASTA,21,ANTOFAGASTA,MEJILLONES,7892,5405,1095,850,819,843,1167,1395,1165,1070,1050,999,972,723,463,294,181,117,54,25,15,1644,137,12,11,3374,9066,495,791,924,1561,1128,5035,751,584,301,1100,1230,604,207,9,33,124,25,97,0,0,131,610,207,9,33,124,25,97,0,0,125,0,2,4,0,17,1,0,0,46,1,11,0,49,6847,75,368,464,695,1158,455,368
2103,2103042005,2103042005,SIERRA GORDA,Localidad,2,REGIÓN DE ANTOFAGASTA,21,ANTOFAGASTA,SIERRA GORDA,8638,1520,132,121,88,153,743,1516,1651,1544,1540,1118,796,455,193,61,22,11,10,2,2,346,134,53,35,1018,8976,53,102,454,1467,978,5075,896,571,103,329,1382,487,353,3,133,98,42,197,0,1,68,490,353,3,133,98,42,197,0,1,65,0,1,2,0,13,0,1,0,13,2,13,0,23,6430,46,2990,133,82,83,20,35
